Title,Rating,Votes,Duration,Genre
Joe Baby,4.4,121,1.433333333,Action
Sheriff,6.9,1200,2.216666667,Action
Kill Em All 2,4.1,1500,1.466666667,Action
72 Hours,4.1,349,1.45,Action
Matka,4.7,615,2.6,Action
Toofan,7.3,8900,2.416666667,Action
Yudhra,4.9,14000,2.366666667,Action
The Tiger's Apprentice,5.8,2300,1.4,Action
Hagen,6,1500,2.316666667,Action
Vanvaas,6.6,1500,2.666666667,Action
Hunting with Tigers,5.6,579,1.816666667,Action
Lal Salaam,4.5,1500,2.5,Action
S.T.A.L.K.E.R.: Shadow of the Zone,4.8,682,1.183333333,Action
Ryan's World the Movie: Titan Universe Adventure,1.8,760,1.333333333,Action
Freedom,5.9,1500,1.833333333,Action
Max,7.1,3600,2.2,Action
Peter Five Eight,3.5,1100,1.666666667,Action
Agent Recon,2.4,781,1.416666667,Action
Gandhi 3,5.7,254,2.383333333,Action
Uninvited,5.6,372,1.55,Action
200% Wolf,5.9,1400,1.633333333,Action
Mission: Cross,6.1,2800,1.75,Action
How to Rob a Bank,6.6,4400,1.466666667,Action
Captain Miller,7.2,14000,2.616666667,Action
Je Jatt Vigarh Gya,5.7,837,2.2,Action
Operation Valentine,5.3,1800,2.216666667,Action
Crack: Back in Da Hood,6.9,27,1.366666667,Action
The Lockdown,4.3,635,1.95,Action
Razakar: The Silent Genocide of Hyderabad,7.3,5400,2.766666667,Action
Shark Warning,3.5,423,1.566666667,Action
Operation Blood Hunt,3.4,543,1.55,Action
Eagle,5.9,5000,2.65,Action
Skiptrace,5.6,5,1.333333333,Action
Heart of the Hunter,4.7,2200,1.75,Action
Sixty Minutes,5.7,5400,1.466666667,Action
KA,7,1700,2.516666667,Action
Get Fast,3.7,531,1.466666667,Action
The Last Front,5.5,667,1.633333333,Action
The Plot,4.8,446,1.666666667,Action
The Last Kumite,4.6,2400,1.75,Action
Wanted Man,4.8,2700,1.416666667,Action
Rebirth Island,7.7,57,1.716666667,Action
Witch Hunter,4,49,1.333333333,Action
Don't Mess with Grandma,5.5,315,1.35,Action
Bhaje Vaayu Vegam,6.1,779,2.266666667,Action
Conquer: Lahad Datu,6.6,575,2,Action
(Pri)sons,4.9,314,1.666666667,Action
Sorgavaasal,6.6,1500,2.3,Action
The Ballad of Davy Crockett,4.6,276,1.6,Action
Rogue Elements: A Ryan Drake Story,4.1,1100,0.733333333,Action
Double Ismart,2.9,2200,2.6,Action
Operation Undead,4.7,485,1.833333333,Action
Mr. Bachchan,3.6,5300,2.5,Action
Baki Hanma VS Kengan Ashura,5.7,2100,1.033333333,Action
Ferry 2,5.6,4000,1.566666667,Action
GTMax,5,1300,1.666666667,Action
Sasan,8.8,100,2.583333333,Action
War of the Worlds: Extinction,3.1,232,1.4,Action
Ruslaan,3.3,1300,2,Action
Sous écrous,4.8,149,1.85,Action
Arena Wars,5.5,3300,1.6,Action
Mura,7.2,6800,2.15,Action
Shoutai,6.8,772,2,Action
All the Lost Ones,3.6,282,1.766666667,Action
Snow White and the Seven Samurai,3.2,325,1.466666667,Action
Black Heat,8,150,1.55,Action
No Time to Spy: A Loud House Movie,6.4,527,1.35,Action
Bhaiyya Ji,4.8,7400,2.5,Action
Bhimaa,5.1,1200,2.35,Action
Rathnam,5.4,3700,2.583333333,Action
Nice Girls,4.2,1200,1.533333333,Action
Exorcism Chronicles: The Beginning,6.4,147,1.416666667,Action
Son's Will,7.4,1100,2.466666667,Action
Yuva,5.7,864,2.55,Action
Purushothamudu,5.7,3400,2,Action
Spiders on a Plane,3.9,497,1.3,Action
Ghosts of Red Ridge,3.2,188,1.35,Action
Bohurupi,7.8,1800,2.583333333,Action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.3,684,2.9,Action
Mummy Shark,1.9,231,1.1,Action
Bionic,4.3,1800,1.833333333,Action
Bull Shark 2,2.6,251,1.25,Action
Sucha Soorma,6.4,964,2.266666667,Action
Alien Country,4.5,436,1.6,Action
DNA,5.4,230,2.6,Action
Gladiators,3.3,137,1.583333333,Action
Stuntman,7,250,1.9,Action
Mobile Suit Gundam SEED Freedom,6.6,1000,2.066666667,Action
Kondal,5.3,812,2.45,Action
They Call Her Death,5.4,229,1.533333333,Action
Bastar: The Naxal Story,6.4,3300,2.066666667,Action
Cassino in Ischia,4.4,288,1.883333333,Action
Devaki Nandana Vasudeva,6.5,2800,2.133333333,Action
12 to Midnight,3.7,309,1.6,Action
Thundu,5,935,2.083333333,Action
School of Magical Animals 3,5.7,384,1.75,Action
Sayen: The Huntress,4.4,267,1.466666667,Action
Echo 8,5.9,1400,1.583333333,Action
Naa Saami Ranga,4.5,1200,2.5,Action
