Title,Rating,Votes,Duration
185. Krazy House,4.8, (1.6K),1h 29m
186. A Wedding Story,6.4, (3.4K),1h 50m
187. 1978,5.0, (928),1h 20m
188. The McKinney Family Home Videos,4.9, (43),1h 8m
189. The Painted,4.9, (1.2K),1h 25m
190. Swap,2.7, (444),1h 26m
191. The Demon Disorder,4.8, (1.4K),1h 26m
192. Wynonna Earp: Vengeance,5.6, (1.7K),1h 36m
193. Witch,4.9, (1.4K),1h 47m
194. Carved,4.4, (2.9K),1h 35m
196. Killer Body Count,4.7, (702),1h 49m
197. Chain Reactions,7.2, (129),1h 43m
198. Shaitaan,6.5, (55K),2h 12m
199. Pacific Fear,3.6, (342),1h 25m
200. Out Come the Wolves,4.7, (1.8K),1h 26m
201. The Blackwell Ghost 8,6.1, (431),1h 9m
202. Bloodline Killer,4.3, (5.4K),1h 45m
203. Stupid Games,4.2, (452),1h 26m
204. The Ghost,6.3, (133),1h 32m
205. Horror in the High Desert 3: Firewatch,5.4, (793),1h 28m
206. Thayyal Machine,9.6, (1K),1h 31m
207. Anaconda,4.9, (699),1h 24m
208. Hauntology,3.7, (385),1h 43m
209. Street Trash,4.5, (1K),1h 25m
211. Latency,4.2, (3K),1h 34m
212. The Haunted Apartment: Miss K,5.6, (542),1h 43m
213. Scared Shitless,6.1, (228),1h 16m
215. In the Name of God,5.1, (165),1h 29m
216. Siccin 7,4.0, (1.1K),1h 34m
217. Old Wounds,7.4, (17),1h 49m
218. Black Cab,4.1, (1.9K),1h 28m
219. The Hangman,3.3, (1.1K),1h 32m
220. Conjuring the Cult,4.2, (966),1h 33m
221. Tantra,4.9, (2.4K),2h 16m
222. Here After,4.2, (1.9K),1h 33m
223. Bureau 749,3.9, (595),2h 3m
224. Behave,2.7, (237),1h 28m
225. Cursed,4.2, (149),1h 21m
226. Bystanders,4.0, (435),1h 22m
227. La Patasola,2.7, (119),1h 21m
228. La damnée,4.2, (122),1h 20m
230. Aranmanai 4,5.0, (2.4K),2h 28m
231. Model House,4.0, (1.1K),1h 25m
232. Mutants of Nature Cove,3.6, (169),1h 28m
233. Dominion of Darkness,5.6, (884),1h 36m
234. I'll Play Mother,4.7, (117),1h 48m
235. The Train of Death,4.7, (750),1h 43m
236. Sorop,5.4, (271),1h 43m
237. Turno Nocturno,5.2, (766),1h 47m
238. Sala Escura,4.5, (32),1h 35m
